movie_id,imdb_id,tmdb_id,rating,average_rating,title
356,0109830,13,5.0,4.06721,Forrest Gump (1994)
1196,0080684,1891,5.0,4.1243,The Empire Strikes Back (1980)
1210,0086190,1892,5.0,3.9835,Return of the Jedi (1983)
2571,0133093,603,4.0,4.16007,The Matrix (1999)
4878,0246578,141,3.0,3.94888,Donnie Darko (2001)
4896,0241527,671,5.0,3.68894,Harry Potter and the Philosopher's Stone (2001)
5618,0245429,129,5.0,4.22472,Spirited Away (2001)
5816,0295297,672,4.0,3.64796,Harry Potter and the Chamber of Secrets (2002)
6016,0317248,598,5.0,4.18392,City of God (2002)
6365,0234215,604,3.0,3.36936,The Matrix Reloaded (2003)
6934,0242653,605,3.5,3.23342,The Matrix Revolutions (2003)
7361,0338013,38,4.5,4.07183,Eternal Sunshine of the Spotless Mind (2004)
8368,0304141,673,4.0,3.82077,Harry Potter and the Prisoner of Azkaban (2004)
8641,0357413,8699,5.0,3.49844,Anchorman: The Legend of Ron Burgundy (2004)
8644,0343818,2048,4.5,3.4764,"I, Robot (2004)"
8874,0365748,747,5.0,3.88278,Shaun of the Dead (2004)
31658,0347149,4935,5.0,4.10869,Howl's Moving Castle (2004)
33493,0121766,1895,5.0,3.38458,Star Wars: Episode III - Revenge of the Sith (2005)
34405,0379786,16320,5.0,3.97715,Serenity (2005)
40815,0330373,674,3.0,3.76926,Harry Potter and the Goblet of Fire (2005)
54001,0373889,675,5.0,3.77101,Harry Potter and the Order of the Phoenix (2007)
56174,0480249,6479,4.5,3.51319,I Am Legend (2007)
56367,0467406,7326,4.5,3.72179,Juno (2007)
60069,0910970,10681,4.5,4.01182,WALLÂ·E (2008)
63082,1010048,12405,4.0,3.83176,Slumdog Millionaire (2008)
68157,0361748,16869,4.5,4.02862,Inglourious Basterds (2009)
69757,1022603,19913,4.5,3.73981,(500) Days of Summer (2009)
69844,0417741,767,5.0,3.83478,Harry Potter and the Half-Blood Prince (2009)
71535,1156398,19908,5.0,3.74925,Zombieland (2009)
76251,1250777,23483,4.5,3.60015,Kick-Ass (2010)
79132,1375666,27205,5.0,4.1744,Inception (2010)
79702,0446029,22538,4.5,3.77517,Scott Pilgrim vs. the World (2010)
81834,0926084,12444,5.0,3.86144,Harry Potter and the Deathly Hallows: Part 1 (2010)
86332,0800369,10195,3.5,3.35078,Thor (2011)
88125,1201607,12445,5.0,3.90493,Harry Potter and the Deathly Hallows: Part 2 (2011)
89745,0848228,24428,4.0,3.75993,The Avengers (2012)
91500,1392170,70160,5.0,3.51369,The Hunger Games (2012)
92259,1675434,77338,4.0,4.13332,The Intouchables (2011)
96821,1659337,84892,5.0,3.84187,The Perks of Being a Wallflower (2012)
97921,1045658,82693,3.5,3.70856,Silver Linings Playbook (2012)
99114,1853728,68718,5.0,4.02468,Django Unchained (2012)
106782,0993846,106646,4.0,3.92768,The Wolf of Wall Street (2013)
106920,1798709,152601,5.0,3.90379,Her (2013)
110102,1843866,100402,3.5,3.70401,Captain America: The Winter Soldier (2014)
112552,2582802,244786,5.0,4.14827,Whiplash (2014)
112852,2015381,118340,4.5,3.93205,Guardians of the Galaxy (2014)
115569,2872718,242582,5.0,3.97116,Nightcrawler (2014)
116823,1951265,131631,4.0,3.42122,The Hunger Games: Mockingjay - Part 1 (2014)
119145,2802144,207703,5.0,3.80893,Kingsman: The Secret Service (2014)
122912,4154756,299536,5.0,3.94095,Avengers: Infinity War (2018)
